officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Alsigarh B.O,313031,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Girva,Udaipur,RAJASTHAN,NA,Nai S.O,Udaipur H.O,NA,NA
Amar Pura B.O,313604,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Bhinder,Udaipur,RAJASTHAN,NA,Kanore S.O,Udaipur H.O,NA,NA
Amar Pura B.O,313602,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Bhinder,Udaipur,RAJASTHAN,NA,Kheroda S.O,Udaipur H.O,NA,NA
Ambassa B.O,313701,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Jhadol,Udaipur,RAJASTHAN,NA,Phalasia S.O,Udaipur H.O,NA,NA
Amiwara B.O,313701,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Jhadol,Udaipur,RAJASTHAN,NA,Phalasia S.O,Udaipur H.O,NA,NA
Amlia B.O,313701,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Jhadol,Udaipur,RAJASTHAN,NA,Phalasia S.O,Udaipur H.O,NA,NA
Amloda B.O,313038,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Salumber,Udaipur,RAJASTHAN,NA,Jhallara S.O,Udaipur H.O,NA,NA
Anant B.O,313611,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Dhariawad,Udaipur,RAJASTHAN,NA,Parsola S.O,Udaipur H.O,NA,NA
Anjana B.O,313331,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Deogarh,Rajsamand,RAJASTHAN,NA,Deogarh S.O (Rajsamand),Kankroli H.O,NA,NA
Anjani B.O,313604,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Bhinder,Udaipur,RAJASTHAN,NA,Kanore S.O,Udaipur H.O,NA,NA
Antalia B.O,313334,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Rajsamand,Rajsamand,RAJASTHAN,NA,Kelwa S.O (Rajsamand),Kankroli H.O,NA,NA
Antri B.O,313325,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Kumbhalgarh,Rajsamand,RAJASTHAN,NA,Kelwara S.O,Kankroli H.O,NA,NA
Arinda B.O,313602,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Bhinder,Udaipur,RAJASTHAN,NA,Kheroda S.O,Udaipur H.O,NA,NA
Arnia B.O,313604,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Bhinder,Udaipur,RAJASTHAN,NA,Kanore S.O,Udaipur H.O,NA,NA
ARS Station B.O,313601,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Vallabhnagar,Udaipur,RAJASTHAN,NA,Vallabhnagar S.O (Udaipur),Udaipur H.O,NA,NA
Atma B.O,313334,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Rajsamand,Rajsamand,RAJASTHAN,NA,Kelwa S.O (Rajsamand),Kankroli H.O,NA,NA
B K Kalwana B.O,313704,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Gogunda,Rajsamand,RAJASTHAN,NA,Sayra S.O,Udaipur H.O,NA,NA
B K Kherwara B.O,313702,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Salumber,Udaipur,RAJASTHAN,NA,Jhadol (P) S.O,Udaipur H.O,NA,NA
Baalicha B.O,313604,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Bhinder,Udaipur,RAJASTHAN,NA,Kanore S.O,Udaipur H.O,NA,NA
Badawali B.O,313026,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Salumber,Udaipur,RAJASTHAN,NA,Intali Khera S.O,Udaipur H.O,NA,NA
Badgaon B.O,313603,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Bhinder,Udaipur,RAJASTHAN,NA,Bhinder S.O (Udaipur),Udaipur H.O,NA,NA
Badgaon B.O,313905,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Sarara,Udaipur,RAJASTHAN,NA,Jhadol (S) S.O,Udaipur H.O,NA,NA
Badgaon B.O,313205,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Mavli,Udaipur,RAJASTHAN,NA,Fatehnagar S.O (Udaipur),Udaipur H.O,NA,NA
Badgaon S.O,313011,S.O,Delivery,Udaipur,Ajmer,Rajasthan,Badgaon,Udaipur,RAJASTHAN,0294-2451773,NA,Udaipur H.O,NA,NA
Badla B.O,313803,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Kherwara,Udaipur,RAJASTHAN,NA,Kherwara S.O,Udaipur H.O,NA,NA
Badrada B.O,313324,B.O directly a/w Head Office,Delivery,Udaipur,Ajmer,Rajasthan,Rajsamand,Rajsamand,RAJASTHAN,NA,NA,Kankroli H.O,NA,NA
Bagana B.O,313331,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Deogarh,Rajsamand,RAJASTHAN,NA,Deogarh S.O (Rajsamand),Kankroli H.O,NA,NA
Bagdunda B.O,313705,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Gogunda,Udaipur,RAJASTHAN,NA,Gogunda S.O,Udaipur H.O,NA,NA
Baggad B.O,313341,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Bhim,Rajsamand,RAJASTHAN,NA,Barar S.O,Kankroli H.O,NA,NA
Baggad B.O,313602,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Bhinder,Udaipur,RAJASTHAN,NA,Kheroda S.O,Udaipur H.O,NA,NA
Baghpura B.O,313031,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Girva,Udaipur,RAJASTHAN,NA,Nai S.O,Udaipur H.O,NA,NA
Bagol B.O,313301,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Nathdwara,Rajsamand,RAJASTHAN,NA,Nathdwara S.O,Kankroli H.O,NA,NA
Bakhel B.O,307025,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Kotra,Udaipur,RAJASTHAN,NA,Kotra S.O (Udaipur),Udaipur H.O,NA,NA
Balathal B.O,313601,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Vallabhnagar,Udaipur,RAJASTHAN,NA,Vallabhnagar S.O (Udaipur),Udaipur H.O,NA,NA
Balicha B.O,313322,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Khamnore,Rajsamand,RAJASTHAN,NA,Khamnore S.O,Kankroli H.O,NA,NA
Balicha B.O,313001,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Girwa,Udaipur,RAJASTHAN,NA,Udaipur Shastri Circle S.O,Udaipur H.O,NA,NA
Balicha B.O,313804,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Kherwara,Udaipur,RAJASTHAN,NA,Chhani S.O (Udaipur),Udaipur H.O,NA,NA
Ballabh B.O,313706,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Salumber,Udaipur,RAJASTHAN,NA,Bambora S.O,Udaipur H.O,NA,NA
Balli Ijassa Kheda B.O,305921,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Rajsamand,Rajsamand,RAJASTHAN,NA,Bhim S.O,Kankroli H.O,NA,NA
Balua B.O,313802,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Kherwara,Udaipur,RAJASTHAN,NA,Rishabhdeo S.O,Udaipur H.O,NA,NA
Bamanhera B.O,313323,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Nathdwara,Rajsamand,RAJASTHAN,NA,Kotharia S.O (Rajsamand),Kankroli H.O,NA,NA
Bambora S.O,313706,S.O,Delivery,Udaipur,Ajmer,Rajasthan,Girwa,Udaipur,RAJASTHAN,0294-2398240,NA,Udaipur H.O,NA,NA
Bamnia B.O,313027,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Salumber,Udaipur,RAJASTHAN,NA,Salumber S.O,Udaipur H.O,NA,NA
Bamnia Kalan B.O,313329,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Railmagra,Rajsamand,RAJASTHAN,NA,Railmagra S.O,Kankroli H.O,NA,NA
Bana Khurd B.O,313902,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Sarara,Udaipur,RAJASTHAN,NA,Sarara S.O,Udaipur H.O,NA,NA
Banerian B.O,313329,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Railmagra,Rajsamand,RAJASTHAN,NA,Railmagra S.O,Kankroli H.O,NA,NA
Bankora B.O,313325,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Kumbhalgarh,Rajsamand,RAJASTHAN,NA,Kelwara S.O,Kankroli H.O,NA,NA
Banoda B.O,313027,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Salumber,Udaipur,RAJASTHAN,NA,Salumber S.O,Udaipur H.O,NA,NA
Bansa B.O,313333,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Amet,Rajsamand,RAJASTHAN,NA,Charbhuja S.O,Kankroli H.O,NA,NA
Bansada B.O,313603,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Bhinder,Udaipur,RAJASTHAN,NA,Bhinder S.O (Udaipur),Udaipur H.O,NA,NA
Baradara B.O,313325,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Kumbhalgarh,Rajsamand,RAJASTHAN,NA,Kelwara S.O,Kankroli H.O,NA,NA
Barapal B.O,313801,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Kherwara,Udaipur,RAJASTHAN,NA,Parsad S.O,Udaipur H.O,NA,NA
Barar S.O,313341,S.O,Delivery,Udaipur,Ajmer,Rajasthan,Rajsamand,Rajsamand,RAJASTHAN,NA,NA,Kankroli H.O,NA,NA
Barda B.O,313011,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Badgaon,Udaipur,RAJASTHAN,NA,Badgaon S.O,Udaipur H.O,NA,NA
Bari Tb (S) B.O,313011,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Girwa,Udaipur,RAJASTHAN,NA,Badgaon S.O,Udaipur H.O,NA,NA
Bari Undri B.O,313031,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Girva,Udaipur,RAJASTHAN,NA,Nai S.O,Udaipur H.O,NA,NA
Barjal B.O,313331,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Deogarh,Rajsamand,RAJASTHAN,NA,Deogarh S.O (Rajsamand),Kankroli H.O,NA,NA
Barli B.O,307025,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Kotra,Udaipur,RAJASTHAN,NA,Kotra S.O (Udaipur),Udaipur H.O,NA,NA
Baroda B.O,313026,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Salumber,Udaipur,RAJASTHAN,NA,Intali Khera S.O,Udaipur H.O,NA,NA
Barodia B.O,313602,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Bhinder,Udaipur,RAJASTHAN,NA,Kheroda S.O,Udaipur H.O,NA,NA
Barothi B.O,313803,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Kherwara,Udaipur,RAJASTHAN,NA,Kherwara S.O,Udaipur H.O,NA,NA
Bassi B.O,313027,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Salumber,Udaipur,RAJASTHAN,NA,Salumber S.O,Udaipur H.O,NA,NA
Bassi Junjawat B.O,313027,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Salumber,Udaipur,RAJASTHAN,NA,Salumber S.O,Udaipur H.O,NA,NA
Batharda Kalan B.O,313602,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Bhinder,Udaipur,RAJASTHAN,NA,Kheroda S.O,Udaipur H.O,NA,NA
Batharda Khurd B.O,313602,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Bhinder,Udaipur,RAJASTHAN,NA,Kheroda S.O,Udaipur H.O,NA,NA
Bawalwara B.O,313803,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Kherwara,Udaipur,RAJASTHAN,NA,Kherwara S.O,Udaipur H.O,NA,NA
Bayri B.O,313803,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Kherwara,Udaipur,RAJASTHAN,NA,Kherwara S.O,Udaipur H.O,NA,NA
Bedawal B.O,313027,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Salumber,Udaipur,RAJASTHAN,NA,Salumber S.O,Udaipur H.O,NA,NA
Bedla B.O,313011,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Badgaon,Udaipur,RAJASTHAN,NA,Badgaon S.O,Udaipur H.O,NA,NA
Beerothi B.O,313906,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Jhadol,Udaipur,RAJASTHAN,NA,Ogna S.O,Udaipur H.O,NA,NA
Bekria B.O,313708,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Gogunda,Udaipur,RAJASTHAN,NA,Nandeshma S.O,Udaipur H.O,NA,NA
Bemla B.O,313703,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Girwa,Udaipur,RAJASTHAN,NA,Kurawar S.O (Udaipur),Udaipur H.O,NA,NA
Bhabrana B.O,313038,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Salumber,Udaipur,RAJASTHAN,NA,Jhallara S.O,Udaipur H.O,NA,NA
Bhada Bhanuja B.O,313321,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Nathdwara,Rajsamand,RAJASTHAN,NA,Goanguda S.O,Kankroli H.O,NA,NA
Bhadviguda B.O,313705,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Gogunda,Udaipur,RAJASTHAN,NA,Gogunda S.O,Udaipur H.O,NA,NA
Bhalon Ka Guda B.O,313024,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Girwa,Udaipur,RAJASTHAN,NA,Zinc Smelter S.O,Udaipur H.O,NA,NA
Bhana B.O,313324,B.O directly a/w Head Office,Delivery,Udaipur,Ajmer,Rajasthan,Rajsamand,Rajsamand,RAJASTHAN,NA,NA,Kankroli H.O,NA,NA
Bhanda B.O,313803,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Kherwara,Udaipur,RAJASTHAN,NA,Kherwara S.O,Udaipur H.O,NA,NA
Bhanpura B.O,313704,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Gogunda,Rajsamand,RAJASTHAN,NA,Sayra S.O,Udaipur H.O,NA,NA
Bhansol Garwara B.O,313204,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Mavli,Udaipur,RAJASTHAN,NA,Palana Khurd S.O,Udaipur H.O,NA,NA
Bharev B.O,313604,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Bhinder,Udaipur,RAJASTHAN,NA,Kanore S.O,Udaipur H.O,NA,NA
Bharkundi B.O,313611,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Dhariawad,Udaipur,RAJASTHAN,NA,Parsola S.O,Udaipur H.O,NA,NA
Bhatewaar B.O,313601,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Vallabhnagar,Udaipur,RAJASTHAN,NA,Vallabhnagar S.O (Udaipur),Udaipur H.O,NA,NA
Bhatoli B.O,313342,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Rajsamand,Rajsamand,RAJASTHAN,NA,T F Kankroli S.O,Kankroli H.O,NA,NA
Bhawa B.O,313324,B.O directly a/w Head Office,Delivery,Udaipur,Ajmer,Rajasthan,Rajsmand,Rajsamand,RAJASTHAN,NA,NA,Kankroli H.O,NA,NA
Bhensa Kamed B.O,313321,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Nathdwara,Rajsamand,RAJASTHAN,NA,Goanguda S.O,Kankroli H.O,NA,NA
Bhensda Kalan B.O,313024,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Girwa,Udaipur,RAJASTHAN,NA,Zinc Smelter S.O,Udaipur H.O,NA,NA
Bhim S.O,305921,S.O,Delivery,Udaipur,Ajmer,Rajasthan,Rajsamand,Rajsamand,RAJASTHAN,02951-250321,NA,Kankroli H.O,NA,NA
Bhimal B.O,313203,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Mavli,Udaipur,RAJASTHAN,NA,Mavli Jn. S.O,Udaipur H.O,NA,NA
Bhinder S.O (Udaipur),313603,S.O,Delivery,Udaipur,Ajmer,Rajasthan,Vallabhnagar,Udaipur,RAJASTHAN,02957-220014,NA,Udaipur H.O,NA,NA
Bhoiyon Ki Pancholi B.O,313003,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Girwa,Udaipur,RAJASTHAN,NA,Udaipur Industrial Area S.O,Udaipur H.O,NA,NA
Bhojpur B.O,313605,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Dhariawad,Udaipur,RAJASTHAN,NA,Dhariawad S.O,Udaipur H.O,NA,NA
Bhopa Khera B.O,313603,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Bhinder,Udaipur,RAJASTHAN,NA,Bhinder S.O (Udaipur),Udaipur H.O,NA,NA
Bhoraipal B.O,313026,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Salumber,Udaipur,RAJASTHAN,NA,Intali Khera S.O,Udaipur H.O,NA,NA
Bhudar B.O,313802,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Kherwara,Udaipur,RAJASTHAN,NA,Rishabhdeo S.O,Udaipur H.O,NA,NA
Bhutala B.O,313011,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Badgaon,Udaipur,RAJASTHAN,NA,Badgaon S.O,Udaipur H.O,NA,NA
Bhuwana B.O,313001,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Girwa,Udaipur,RAJASTHAN,NA,Udaipur Shastri Circle S.O,Udaipur H.O,NA,NA
Bichhadi B.O,313024,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Girwa,Udaipur,RAJASTHAN,NA,Zinc Smelter S.O,Udaipur H.O,NA,NA
Bichhiwara B.O,313701,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Jhadol,Udaipur,RAJASTHAN,NA,Phalasia S.O,Udaipur H.O,NA,NA
Bijanwas B.O,313201,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Mavli,Udaipur,RAJASTHAN,NA,Khemli S.O,Udaipur H.O,NA,NA
Bijnol B.O,313323,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Nathdwara,Rajsamand,RAJASTHAN,NA,Kotharia S.O (Rajsamand),Kankroli H.O,NA,NA
Bikarni B.O,307025,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Kotra,Udaipur,RAJASTHAN,NA,Kotra S.O (Udaipur),Udaipur H.O,NA,NA
Bikawas B.O,313332,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Amet,Rajsamand,RAJASTHAN,NA,Charbhuja Road S.O,Kankroli H.O,NA,NA
Bilakh B.O,313802,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Kherwara,Udaipur,RAJASTHAN,NA,Rishabhdeo S.O,Udaipur H.O,NA,NA
Bilota B.O,313202,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Nathdwara,Rajsamand,RAJASTHAN,NA,Delwara S.O,Kankroli H.O,NA,NA
Binol B.O,313327,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Rajsamand,Rajsamand,RAJASTHAN,NA,Koaria S.O,Kankroli H.O,NA,NA
Bokhada B.O,313704,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Gogunda,Rajsamand,RAJASTHAN,NA,Sayra S.O,Udaipur H.O,NA,NA
Boraj B.O,313324,B.O directly a/w Head Office,Delivery,Udaipur,Ajmer,Rajasthan,Rajsamand,Rajsamand,RAJASTHAN,NA,NA,Kankroli H.O,NA,NA
Boria B.O,313611,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Dhariawad,Udaipur,RAJASTHAN,NA,Parsola S.O,Udaipur H.O,NA,NA
Boyana B.O,313201,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Mavli,Udaipur,RAJASTHAN,NA,Khemli S.O,Udaipur H.O,NA,NA
Budel B.O,313038,B.O,Delivery,Udaipur,Ajmer,Rajasthan,NA,Udaipur,RAJASTHAN,NA,Jhallara S.O,Udaipur H.O,NA,NA
Bujhra B.O,313031,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Girva,Udaipur,RAJASTHAN,NA,Nai S.O,Udaipur H.O,NA,NA
Chanawada B.O,313801,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Kherwara,Udaipur,RAJASTHAN,NA,Parsad S.O,Udaipur H.O,NA,NA
Chandesara B.O,313201,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Mavli,Udaipur,RAJASTHAN,NA,Khemli S.O,Udaipur H.O,NA,NA
Chandora B.O,313903,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Sarara,Udaipur,RAJASTHAN,NA,Semari S.O,Udaipur H.O,NA,NA
Changedi B.O,313205,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Mavli,Udaipur,RAJASTHAN,NA,Fatehnagar S.O (Udaipur),Udaipur H.O,NA,NA
Chansda B.O,313015,B.O,Delivery,Udaipur,Ajmer,Rajasthan,NA,Udaipur,RAJASTHAN,NA,Jhamar Kotra S.O,Udaipur H.O,NA,NA
Charana B.O,313211,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Railmagra,Rajsamand,RAJASTHAN,NA,Dariba S.O,Kankroli H.O,NA,NA
Charbhuja Road S.O,313332,S.O,Delivery,Udaipur,Ajmer,Rajasthan,Charbhuja,Rajsamand,RAJASTHAN,02908-220034,NA,Kankroli H.O,NA,NA
Charbhuja S.O,313333,S.O,Delivery,Udaipur,Ajmer,Rajasthan,Rajasamand,Rajsamand,RAJASTHAN,02954-248040,NA,Kankroli H.O,NA,NA
Chargadia B.O,313603,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Bhinder,Udaipur,RAJASTHAN,NA,Bhinder S.O (Udaipur),Udaipur H.O,NA,NA
Chari B.O,313605,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Dhariawad,Udaipur,RAJASTHAN,NA,Dhariawad S.O,Udaipur H.O,NA,NA
Chatia Khedi B.O,313705,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Gogunda,Udaipur,RAJASTHAN,NA,Gogunda S.O,Udaipur H.O,NA,NA
Chatpur B.O,313905,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Sarara,Udaipur,RAJASTHAN,NA,Jhadol (S) S.O,Udaipur H.O,NA,NA
Chawand S.O,313904,S.O,Delivery,Udaipur,Ajmer,Rajasthan,Sarara,Udaipur,RAJASTHAN,NA,NA,Udaipur H.O,NA,NA
Chhali B.O,313705,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Gogunda,Udaipur,RAJASTHAN,NA,Gogunda S.O,Udaipur H.O,NA,NA
Chhani S.O (Udaipur),313804,S.O,Delivery,Udaipur,Ajmer,Rajasthan,Kherwara,Udaipur,RAJASTHAN,NA,NA,Udaipur H.O,NA,NA
Chhaplian B.O,313331,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Deogarh,Rajsamand,RAJASTHAN,NA,Deogarh S.O (Rajsamand),Kankroli H.O,NA,NA
Chiboda B.O,313027,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Salumber,Udaipur,RAJASTHAN,NA,Salumber S.O,Udaipur H.O,NA,NA
Chirwa B.O,313202,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Nathdwara,Rajsamand,RAJASTHAN,NA,Delwara S.O,Kankroli H.O,NA,NA
Chorai B.O,313903,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Sarara,Udaipur,RAJASTHAN,NA,Semari S.O,Udaipur H.O,NA,NA
Chorbaori B.O,313705,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Gogunda,Udaipur,RAJASTHAN,NA,Gogunda S.O,Udaipur H.O,NA,NA
Chowkdi B.O,313329,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Railmagra,Rajsamand,RAJASTHAN,NA,Railmagra S.O,Kankroli H.O,NA,NA
Dabaycha B.O,313804,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Kherwara,Udaipur,RAJASTHAN,NA,Chhani S.O (Udaipur),Udaipur H.O,NA,NA
Dabok S.O,313022,S.O,Delivery,Udaipur,Ajmer,Rajasthan,Vallabhnagar,Udaipur,RAJASTHAN,0294-2655385,NA,Udaipur H.O,NA,NA
Dagar B.O,313026,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Salumber,Udaipur,RAJASTHAN,NA,Intali Khera S.O,Udaipur H.O,NA,NA
Daiya B.O,313701,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Jhadol,Udaipur,RAJASTHAN,NA,Phalasia S.O,Udaipur H.O,NA,NA
Dakan Kotra B.O,313001,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Girwa,Udaipur,RAJASTHAN,NA,Udaipur Shastri Circle S.O,Udaipur H.O,NA,NA
Dal B.O,313027,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Salumber,Udaipur,RAJASTHAN,NA,Salumber S.O,Udaipur H.O,NA,NA
Damana B.O,313702,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Salumber,Udaipur,RAJASTHAN,NA,Jhadol (P) S.O,Udaipur H.O,NA,NA
Dansaria B.O,305921,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Rajsamand,Rajsamand,RAJASTHAN,NA,Bhim S.O,Kankroli H.O,NA,NA
Dantalia B.O,313605,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Dhariawad,Udaipur,RAJASTHAN,NA,Dhariawad S.O,Udaipur H.O,NA,NA
Dantesar B.O,313703,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Girwa,Udaipur,RAJASTHAN,NA,Kurawar S.O (Udaipur),Udaipur H.O,NA,NA
Dariba S.O,313211,S.O,Delivery,Udaipur,Ajmer,Rajasthan,Railmagra,Rajsamand,RAJASTHAN,0294-2429251,NA,Kankroli H.O,NA,NA
Daroli B.O,313022,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Bhinder,Udaipur,RAJASTHAN,NA,Dabok S.O,Udaipur H.O,NA,NA
Daver B.O,313331,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Deogarh,Rajsamand,RAJASTHAN,NA,Deogarh S.O (Rajsamand),Kankroli H.O,NA,NA
Dayli B.O,313902,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Sarara,Udaipur,RAJASTHAN,NA,Sarara S.O,Udaipur H.O,NA,NA
Debari B.O,313024,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Girwa,Udaipur,RAJASTHAN,NA,Zinc Smelter S.O,Udaipur H.O,NA,NA
Delwara S.O,313202,S.O,Delivery,Udaipur,Ajmer,Rajasthan,Nathdwara,Rajsamand,RAJASTHAN,NA,NA,Kankroli H.O,NA,NA
Deogam B.O,313027,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Salumber,Udaipur,RAJASTHAN,NA,Salumber S.O,Udaipur H.O,NA,NA
Deogarh S.O (Rajsamand),313331,S.O,Delivery,Udaipur,Ajmer,Rajasthan,Rajsamand,Rajsamand,RAJASTHAN,02904-252040,NA,Kankroli H.O,NA,NA
Deolia B.O,313604,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Bhinder,Udaipur,RAJASTHAN,NA,Kanore S.O,Udaipur H.O,NA,NA
Deopura B.O,313901,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Girwa,Udaipur,RAJASTHAN,NA,Zawar Mines S.O,Udaipur H.O,NA,NA
Depur B.O,313903,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Sarara,Udaipur,RAJASTHAN,NA,Semari S.O,Udaipur H.O,NA,NA
Deri B.O,313804,B.O,Delivery,Udaipur,Ajmer,Rajasthan,Kherwara,Udaipur,RAJASTHAN,NA,Chhani S.O (Udaipur),Udaipur H.O,NA,NA
